,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,id
10,2.0,482.0,784.0,3.0,0.0,2994.0,0.0,,0.0,0.0,538.0,4.0,2.0,151.0,2.0,11.0,4.0,0.0,4.0,1020.0,90.0,15.0,,16.0,0.0,,64.0,100.0,2.0,89.0,0.0,26.0,2179.0,14.0,0.0,0.0,1.0,32.0,,8353.0,66.0,36.0,3.0,1.0,3.0,7.0,0.0,47000.0,2.0,18.0,0.0,1807.0,5.0,15.0,1.0,0.0,261.0,3.0,231297.0,,,785.0,660.0,-912.0,,,130.0,226.0,531.0,6.0,0.0,0.0,50010
11,1.0,1097.0,219.0,,,1000.0,,,,0.0,1209.0,30.0,2.0,161.0,3.0,,30.0,15731.0,,2306.0,92.0,,,,18.0,,,87.0,,,,10.0,498.0,,,,,58.0,,0.0,47.0,19.0,,3.0,455.0,3.0,,12000.0,,,,1200.0,,55.0,1.0,,95.0,,198491.0,254.0,1.0,43521.0,,865.0,"(195.0, 287.0]",,36.0,86.0,,5.0,,,50011
12,,1785.0,32.0,8.0,0.0,5000.0,0.0,,0.0,,1754.0,6.0,1.0,162.0,,,6.0,8440.0,9.0,3539.0,91.0,,,,30.0,,,100.0,7.0,,0.0,19.0,3723.0,,0.0,0.0,1.0,124.0,,17510.0,102.0,84.0,12.0,3.0,182.0,5.0,0.0,91000.0,,1.0,0.0,4789.0,13.0,1.0,0.0,0.0,79.0,7.0,259643.0,100.0,1.0,14528.0,685.0,-8223.0,"(63.0, 85.0]",,5.0,73.0,434.0,6.0,0.0,0.0,50012
13,2.0,482.0,40.0,3.0,,5000.0,0.0,,0.0,11900.0,249.0,16.0,2.0,163.0,2.0,15.0,18.0,8740.0,7.0,918.0,82.0,,,,2.0,,67.0,79.0,1.0,178.0,,25.0,729.0,,,,0.0,23.0,,21464.0,86.0,50.0,5.0,0.0,106.0,4.0,0.0,117000.0,,36.0,,4680.0,11.0,16.0,0.0,,47.0,2.0,78655.0,7.0,3.0,5012.0,298.0,4025.0,"(0.999, 11.0]",,6.0,85.0,553.0,5.0,,,50013
14,0.0,926.0,10.0,4.0,10000000000.0,5000.0,0.0,1024000.0,0.0,9900.0,356.0,15.0,0.0,138.0,,3.0,15.0,1320.0,6.0,1282.0,77.0,,10000000000.0,,8.0,19880796.0,69.0,14.0,0.0,3.0,92160.0,51.0,745.0,,1024000.0,59733.0,0.0,23.0,59392.0,9940.0,46.0,,4.0,1.0,34.0,4.0,0.0,129000.0,,35.0,8397136.0,2529.0,9.0,1.0,0.0,1024000.0,114.0,0.0,73428.0,2.0,0.0,3908.0,240.0,-2010.0,"(26.0, 44.0]","(200.0, 300.0]",2.0,57.0,134.0,6.0,19880796.0,10000000000.0,50014
15,2.0,1195.0,5.0,0.0,,10000.0,0.0,,0.0,19255.0,996.0,7.0,2.0,164.0,5.0,8.0,7.0,19130.0,0.0,2191.0,91.0,17.0,,25.0,34.0,,100.0,94.0,0.0,55.0,,6.0,797.0,14.0,,,0.0,114.0,,20119.0,123.0,105.0,0.0,2.0,300.0,2.0,0.0,83000.0,5.0,48.0,,13833.0,0.0,1.0,0.0,,53.0,0.0,130012.0,137.0,0.0,15954.0,138.0,1607.0,"(146.0, 195.0]","(300.0, 400.0]",1.0,59.0,10.0,5.0,,,50015
16,11.0,1846.0,113.0,7.0,0.0,,0.0,,0.0,7286.0,1019.0,11.0,2.0,179.0,3.0,11.0,11.0,7399.0,8.0,2865.0,92.0,11.0,,35.0,71.0,,63.0,100.0,3.0,214.0,0.0,0.0,4868.0,11.0,0.0,0.0,2.0,77.0,,16480.0,204.0,94.0,14.0,2.0,431.0,4.0,0.0,,,19.0,0.0,,19.0,10.0,0.0,0.0,40.0,3.0,107908.0,86.0,0.0,17357.0,594.0,-1043.0,"(287.0, 1614.0]","(500.0, 600.0]",18.0,37.0,2294.0,6.0,0.0,0.0,50016
17,5.0,1211.0,86.0,7.0,0.0,2994.0,0.0,,3.0,12409.0,1160.0,14.0,2.0,158.0,3.0,12.0,14.0,12409.0,16.0,2373.0,76.0,33.0,,17.0,47.0,,58.0,100.0,5.0,141.0,0.0,24.0,2615.0,19.0,0.0,0.0,5.0,46.0,,13233.0,101.0,65.0,16.0,1.0,261.0,4.0,3.0,128200.0,2.0,2.0,0.0,5341.0,26.0,6.0,0.0,0.0,59.0,5.0,200524.0,80.0,0.0,15447.0,303.0,782.0,"(146.0, 195.0]","(300.0, 400.0]",14.0,84.0,369.0,6.0,0.0,0.0,50017
18,,497.0,484.0,18.0,0.0,20.0,0.0,,4.0,0.0,672.0,5.0,1.0,127.0,4.0,,5.0,18450.0,21.0,1169.0,85.0,,,,9.0,,,48.0,11.0,,0.0,19.0,15177.0,,0.0,0.0,8.0,30.0,,16241.0,61.0,48.0,25.0,2.0,108.0,5.0,6.0,101000.0,,47.0,0.0,5315.0,30.0,18.0,1.0,0.0,61.0,15.0,80361.0,66.0,1.0,6603.0,135.0,3970.0,"(26.0, 44.0]","(100.0, 200.0]",80.0,68.0,200.0,6.0,0.0,0.0,50018
19,10.0,1003.0,3104.0,0.0,0.0,10.0,0.0,,0.0,17760.0,676.0,20.0,2.0,157.0,4.0,12.0,20.0,17760.0,9.0,1679.0,80.0,22.0,,21.0,20.0,,74.0,37.0,0.0,61.0,0.0,43.0,1487.0,22.0,0.0,0.0,0.0,81.0,,17486.0,127.0,27.0,0.0,1.0,39.0,1.0,0.0,234500.0,0.0,17.0,0.0,5453.0,10.0,376.0,0.0,0.0,69.0,0.0,112832.0,13.0,0.0,2703.0,377.0,2259.0,"(11.0, 26.0]","(300.0, 400.0]",517.0,67.0,1392.0,6.0,0.0,0.0,50019
20,9.0,2063.0,199.0,11.0,,1000.0,0.0,,0.0,31665.0,2556.0,27.0,3.0,160.0,5.0,9.0,27.0,24600.0,16.0,4620.0,91.0,6.0,,59.0,38.0,,70.0,100.0,3.0,55.0,,20.0,750.0,5.0,,,0.0,117.0,,30817.0,135.0,56.0,19.0,4.0,236.0,3.0,0.0,173000.0,,11.0,,8650.0,31.0,9.0,1.0,,85.0,5.0,383089.0,141.0,1.0,20170.0,688.0,-37158.0,"(85.0, 111.0]",,33.0,82.0,1643.0,5.0,,,50020
21,6.0,902.0,78.0,19.0,0.0,10.0,0.0,,2.0,20061.0,153.0,16.0,3.0,156.0,4.0,10.0,16.0,20061.0,21.0,1055.0,87.0,66.0,,2.0,23.0,,72.0,97.0,14.0,238.0,0.0,39.0,14359.0,57.0,0.0,0.0,8.0,57.0,,16411.0,366.0,72.0,28.0,3.0,492.0,1.0,2.0,92000.0,3.0,26.0,0.0,2358.0,31.0,27.0,0.0,0.0,40.0,18.0,58133.0,59.0,0.0,19820.0,332.0,-7951.0,"(287.0, 1614.0]","(300.0, 400.0]",13.0,55.0,284.0,6.0,0.0,0.0,50021
22,5.0,1231.0,4114.0,4.0,0.0,4000.0,0.0,,0.0,5863.0,948.0,9.0,0.0,164.0,3.0,12.0,9.0,5863.0,6.0,2179.0,91.0,,,,49.0,,38.0,26.0,0.0,152.0,0.0,37.0,0.0,,0.0,0.0,0.0,90.0,,14715.0,96.0,8.0,4.0,4.0,223.0,4.0,0.0,83000.0,,26.0,0.0,2243.0,6.0,130.0,0.0,0.0,84.0,1.0,147462.0,90.0,0.0,18783.0,161.0,6633.0,"(111.0, 146.0]",,587.0,67.0,98.0,6.0,0.0,0.0,50022
23,4.0,584.0,2894.0,14.0,0.0,5000.0,0.0,,6.0,14860.0,294.0,20.0,1.0,170.0,3.0,13.0,20.0,14860.0,15.0,878.0,88.0,6.0,,30.0,1.0,,79.0,41.0,8.0,50.0,0.0,23.0,200.0,4.0,0.0,0.0,7.0,56.0,,12613.0,56.0,92.0,33.0,1.0,154.0,3.0,8.0,95000.0,,48.0,0.0,4130.0,37.0,667.0,0.0,0.0,46.0,12.0,39729.0,37.0,0.0,7118.0,113.0,10797.0,"(111.0, 146.0]","(100.0, 200.0]",482.0,45.0,50.0,6.0,0.0,0.0,50023
24,11.0,367.0,5675.0,8.0,0.0,200.0,0.0,,3.0,12125.0,193.0,11.0,3.0,135.0,3.0,14.0,9.0,12125.0,8.0,560.0,86.0,13.0,,2.0,11.0,,58.0,73.0,6.0,46.0,0.0,30.0,443.0,8.0,0.0,0.0,4.0,24.0,,10934.0,56.0,65.0,13.0,1.0,123.0,1.0,3.0,69900.0,8.0,41.0,0.0,2330.0,15.0,1399.0,0.0,0.0,65.0,8.0,30486.0,37.0,0.0,8038.0,408.0,4528.0,"(85.0, 111.0]","(400.0, 500.0]",945.0,54.0,481.0,6.0,0.0,0.0,50024
25,7.0,624.0,18.0,2.0,,0.0,0.0,,0.0,7900.0,527.0,16.0,1.0,140.0,4.0,10.0,16.0,2200.0,4.0,1151.0,71.0,,,,27.0,0.0,40.0,51.0,1.0,34.0,0.0,1.0,0.0,,,0.0,0.0,34.0,0.0,6756.0,50.0,87.0,6.0,0.0,57.0,4.0,0.0,0.0,,36.0,0.0,0.0,11.0,1.0,0.0,,56.0,1.0,85305.0,10.0,0.0,3234.0,299.0,60.0,"(44.0, 63.0]","(200.0, 300.0]",4.0,74.0,258.0,5.0,0.0,,50025
26,3.0,1313.0,234.0,18.0,0.0,300.0,0.0,,3.0,10700.0,1203.0,3.0,0.0,151.0,,13.0,3.0,,25.0,2516.0,88.0,,,,68.0,,,47.0,11.0,117.0,0.0,20.0,5340.0,,0.0,0.0,4.0,111.0,,17443.0,114.0,112.0,35.0,2.0,368.0,6.0,4.0,93100.0,,12.0,0.0,4655.0,50.0,83.0,0.0,0.0,81.0,16.0,222251.0,157.0,0.0,29852.0,443.0,2639.0,"(195.0, 287.0]","(400.0, 500.0]",46.0,88.0,716.0,5.0,0.0,0.0,50026
27,4.0,1026.0,7961.0,36.0,0.0,4990.0,0.0,,16.0,12952.0,546.0,23.0,5.0,164.0,5.0,17.0,23.0,12952.0,47.0,1620.0,89.0,36.0,,129.0,76.0,,90.0,100.0,29.0,220.0,0.0,48.0,618.0,24.0,0.0,0.0,20.0,66.0,,19443.0,149.0,56.0,94.0,1.0,168.0,6.0,17.0,89050.0,1.0,16.0,0.0,1855.0,133.0,775.0,0.0,0.0,54.0,32.0,145402.0,36.0,0.0,9146.0,861.0,488.0,"(111.0, 146.0]",,1326.0,89.0,749.0,6.0,0.0,0.0,50027
28,7.0,999.0,7664.0,23.0,0.0,20.0,0.0,,1.0,20300.0,402.0,20.0,1.0,156.0,4.0,11.0,20.0,20300.0,25.0,1401.0,86.0,,,,6.0,,,86.0,3.0,90.0,0.0,29.0,5131.0,,0.0,0.0,2.0,87.0,,48721.0,102.0,48.0,42.0,0.0,22.0,5.0,1.0,295200.0,,17.0,0.0,10179.0,59.0,315.0,0.0,0.0,46.0,17.0,68108.0,12.0,1.0,1016.0,360.0,962.0,"(0.999, 11.0]","(300.0, 400.0]",1277.0,48.0,144.0,6.0,0.0,0.0,50028
29,2.0,730.0,45.0,2.0,0.0,10000.0,,,0.0,9960.0,360.0,15.0,2.0,151.0,3.0,12.0,15.0,0.0,2.0,1090.0,89.0,14.0,,5.0,19.0,,79.0,46.0,1.0,55.0,,4.0,686.0,12.0,,,0.0,57.0,,10228.0,83.0,9.0,2.0,1.0,40.0,2.0,0.0,45000.0,0.0,,0.0,11250.0,2.0,,0.0,,55.0,2.0,75233.0,6.0,0.0,2205.0,57.0,9750.0,"(26.0, 44.0]",,11.0,69.0,,5.0,0.0,0.0,50029
30,11.0,549.0,6008.0,7.0,0.0,2000.0,0.0,,0.0,4732.0,744.0,11.0,2.0,149.0,4.0,11.0,9.0,4732.0,14.0,1293.0,80.0,24.0,,1.0,6.0,,29.0,95.0,3.0,54.0,0.0,59.0,1798.0,4.0,0.0,0.0,0.0,45.0,,24753.0,75.0,40.0,8.0,1.0,19.0,4.0,0.0,151800.0,0.0,20.0,0.0,2572.0,15.0,77.0,1.0,0.0,76.0,6.0,140010.0,11.0,1.0,1448.0,661.0,5524.0,"(0.999, 11.0]",,1001.0,108.0,1840.0,6.0,0.0,0.0,50030
31,3.0,564.0,1192.0,2.0,0.0,4990.0,0.0,,0.0,12910.0,563.0,21.0,0.0,173.0,3.0,16.0,21.0,12910.0,8.0,1127.0,90.0,,,,17.0,,56.0,10.0,0.0,15.0,0.0,65.0,1396.0,,0.0,0.0,0.0,39.0,,9826.0,35.0,35.0,2.0,2.0,203.0,2.0,0.0,166700.0,,42.0,0.0,2564.0,8.0,186.0,0.0,0.0,59.0,2.0,63324.0,116.0,1.0,12152.0,202.0,2216.0,"(85.0, 111.0]","(200.0, 300.0]",198.0,56.0,66.0,6.0,0.0,0.0,50031
32,,604.0,16.0,0.0,0.0,49900.0,0.0,,0.0,14510.0,534.0,,3.0,,5.0,,,14510.0,0.0,1138.0,,0.0,,0.0,,,,42.0,0.0,,0.0,6.0,28604.0,0.0,0.0,0.0,0.0,,,19507.0,,176.0,0.0,,119.0,2.0,0.0,150000.0,15.0,8.0,0.0,25000.0,0.0,1.0,0.0,0.0,59.0,0.0,93327.0,57.0,0.0,7134.0,631.0,33024.0,"(44.0, 63.0]","(200.0, 300.0]",2.0,82.0,517.0,6.0,0.0,0.0,50032
33,11.0,2517.0,6062.0,10.0,0.0,10000.0,0.0,,0.0,8790.0,1701.0,20.0,2.0,159.0,2.0,8.0,20.0,8790.0,28.0,4218.0,92.0,26.0,,41.0,44.0,,83.0,100.0,1.0,450.0,0.0,45.0,2524.0,3.0,0.0,0.0,0.0,450.0,,18325.0,375.0,53.0,16.0,2.0,131.0,5.0,0.0,116000.0,4.0,7.0,0.0,2577.0,66.0,117.0,0.0,0.0,44.0,7.0,270430.0,62.0,0.0,5801.0,912.0,6785.0,"(63.0, 85.0]",,1010.0,64.0,10017.0,6.0,0.0,0.0,50033
34,9.0,653.0,207.0,24.0,0.0,5000.0,0.0,,8.0,0.0,706.0,16.0,1.0,181.0,4.0,12.0,18.0,9640.0,25.0,1359.0,90.0,,,,22.0,,,71.0,16.0,60.0,0.0,16.0,4357.0,,0.0,0.0,14.0,28.0,,10455.0,67.0,48.0,58.0,1.0,253.0,4.0,8.0,111000.0,,48.0,0.0,6937.0,62.0,88.0,1.0,0.0,103.0,21.0,144905.0,111.0,0.0,26149.0,116.0,3710.0,"(111.0, 146.0]","(100.0, 200.0]",41.0,106.0,35.0,6.0,0.0,0.0,50034
35,4.0,1204.0,2804.0,1.0,0.0,1000.0,0.0,,0.0,12950.0,1529.0,27.0,2.0,171.0,,13.0,27.0,12950.0,14.0,2733.0,88.0,,,,39.0,,73.0,77.0,0.0,88.0,0.0,49.0,7588.0,,0.0,0.0,0.0,89.0,,13000.0,95.0,32.0,1.0,2.0,371.0,2.0,0.0,168000.0,,27.0,0.0,3428.0,19.0,343.0,1.0,0.0,58.0,1.0,169391.0,220.0,1.0,21748.0,207.0,94406.0,"(146.0, 195.0]","(200.0, 300.0]",467.0,61.0,207.0,6.0,0.0,0.0,50035
36,0.0,768.0,2882.0,1.0,0.0,6.0,0.0,,1.0,11840.0,1396.0,9.0,2.0,170.0,4.0,12.0,9.0,11840.0,5.0,2164.0,90.0,,,,37.0,,80.0,73.0,1.0,71.0,0.0,62.0,100.0,,0.0,0.0,1.0,105.0,,18731.0,66.0,40.0,7.0,2.0,195.0,5.0,1.0,110300.0,,7.0,0.0,1779.0,18.0,413.0,1.0,0.0,45.0,1.0,126036.0,124.0,1.0,8793.0,779.0,1310.0,"(63.0, 85.0]",,480.0,58.0,1430.0,6.0,0.0,0.0,50036
37,10.0,701.0,113.0,10.0,0.0,,0.0,,0.0,4740.0,729.0,14.0,2.0,144.0,,9.0,14.0,4200.0,16.0,1430.0,84.0,49.0,,30.0,31.0,,45.0,83.0,5.0,57.0,0.0,0.0,,23.0,0.0,0.0,0.0,32.0,,4566.0,150.0,13.0,26.0,2.0,376.0,3.0,0.0,,6.0,38.0,0.0,,38.0,47.0,1.0,0.0,64.0,8.0,110302.0,129.0,0.0,24129.0,195.0,588.0,"(195.0, 287.0]","(100.0, 200.0]",18.0,77.0,83.0,6.0,0.0,0.0,50037
38,6.0,986.0,1473.0,15.0,0.0,10000.0,0.0,,5.0,11376.0,1633.0,10.0,2.0,173.0,4.0,14.0,10.0,11376.0,16.0,2619.0,91.0,21.0,,30.0,54.0,,65.0,100.0,9.0,182.0,0.0,12.0,1287.0,8.0,0.0,0.0,5.0,125.0,,16375.0,116.0,115.0,60.0,1.0,317.0,4.0,8.0,91000.0,,24.0,0.0,7583.0,71.0,265.0,1.0,0.0,95.0,14.0,318125.0,172.0,1.0,30405.0,346.0,4342.0,"(111.0, 146.0]","(300.0, 400.0]",245.0,121.0,648.0,6.0,0.0,0.0,50038
39,3.0,560.0,4734.0,5.0,0.0,-5000.0,0.0,,1.0,24790.0,374.0,20.0,2.0,149.0,5.0,8.0,20.0,24790.0,8.0,934.0,85.0,,,,6.0,,69.0,100.0,1.0,111.0,0.0,31.0,7075.0,,0.0,0.0,1.0,112.0,,25638.0,99.0,78.0,6.0,1.0,13.0,6.0,1.0,122000.0,,37.0,0.0,3935.0,12.0,74.0,0.0,0.0,62.0,1.0,41377.0,5.0,0.0,811.0,199.0,-19462.0,"(0.999, 11.0]","(100.0, 200.0]",789.0,44.0,634.0,6.0,0.0,0.0,50039
40,2.0,589.0,121.0,7.0,0.0,1996.0,0.0,,1.0,4460.0,130.0,27.0,0.0,122.0,3.0,19.0,27.0,4460.0,8.0,719.0,85.0,,,,6.0,,59.0,19.0,4.0,33.0,0.0,13.0,3588.0,,0.0,0.0,1.0,38.0,,11008.0,40.0,41.0,10.0,1.0,18.0,3.0,1.0,57000.0,,47.0,0.0,4384.0,11.0,1.0,0.0,0.0,112.0,7.0,292019.0,4.0,0.0,2018.0,240.0,286.0,"(11.0, 26.0]","(200.0, 300.0]",20.0,406.0,53.0,6.0,0.0,0.0,50040
41,0.0,826.0,124.0,16.0,6291456.0,23440.0,0.0,,2.0,7840.0,254.0,18.0,2.0,155.0,4.0,11.0,18.0,0.0,18.0,1080.0,90.0,37.0,,15.0,35.0,,100.0,100.0,8.0,185.0,0.0,10.0,8636.0,17.0,60000.0,0.0,2.0,50.0,,20850.0,155.0,53.0,21.0,2.0,183.0,7.0,2.0,201237.0,,40.0,0.0,20123.0,24.0,46.0,0.0,50000.0,76.0,14.0,71077.0,33.0,0.0,14049.0,160.0,5840.0,"(146.0, 195.0]","(100.0, 200.0]",20.0,65.0,214.0,6.0,0.0,5242880.0,50041
42,5.0,655.0,687.0,6.0,0.0,5000.0,0.0,,2.0,0.0,346.0,18.0,2.0,113.0,3.0,,18.0,0.0,11.0,1004.0,38.0,,,,30.0,,,99.0,4.0,,0.0,38.0,1101.0,,0.0,0.0,2.0,53.0,,20778.0,70.0,44.0,9.0,0.0,185.0,5.0,2.0,155225.0,,28.0,0.0,4084.0,20.0,322.0,0.0,0.0,104.0,4.0,113866.0,66.0,0.0,19279.0,521.0,2345.0,"(111.0, 146.0]","(500.0, 600.0]",171.0,113.0,33.0,6.0,0.0,0.0,50042
43,8.0,256.0,823.0,4.0,0.0,5000.0,0.0,,0.0,5823.0,652.0,16.0,0.0,148.0,3.0,7.0,10.0,5823.0,24.0,908.0,78.0,,,,8.0,,20.0,30.0,1.0,17.0,0.0,32.0,416.0,,0.0,0.0,0.0,5.0,,22332.0,22.0,24.0,5.0,0.0,38.0,6.0,0.0,142000.0,,1.0,0.0,4437.0,48.0,17.0,2.0,0.0,117.0,3.0,110424.0,23.0,1.0,4463.0,328.0,-1520.0,"(11.0, 26.0]","(300.0, 400.0]",137.0,121.0,266.0,6.0,0.0,0.0,50043
44,2.0,1337.0,51.0,2.0,6291456.0,10000.0,0.0,120000.0,1.0,61799.0,1412.0,18.0,2.0,160.0,,9.0,18.0,0.0,3.0,2749.0,92.0,2.0,6291456.0,2.0,33.0,3162018.0,59.0,100.0,2.0,32.0,36000.0,45.0,100410.0,0.0,120000.0,25130.0,1.0,63.0,33660.0,64793.0,61.0,42.0,6.0,1.0,226.0,6.0,1.0,921716.0,,16.0,2090821.0,20482.0,11.0,2.0,1.0,100000.0,73.0,2.0,213309.0,117.0,1.0,16606.0,844.0,0.0,"(85.0, 111.0]",,8.0,77.0,677.0,6.0,3162018.0,5242880.0,50044
45,4.0,600.0,292.0,21.0,0.0,5000.0,0.0,,1.0,0.0,50.0,18.0,2.0,139.0,2.0,14.0,18.0,0.0,30.0,650.0,76.0,48.0,,8.0,2.0,,35.0,100.0,12.0,171.0,0.0,15.0,2584.0,22.0,0.0,0.0,2.0,59.0,,3743.0,142.0,89.0,32.0,0.0,8.0,6.0,1.0,51000.0,4.0,30.0,0.0,3400.0,57.0,28.0,0.0,0.0,86.0,20.0,32660.0,6.0,3.0,691.0,735.0,3641.0,"(0.999, 11.0]",,48.0,50.0,1068.0,6.0,0.0,0.0,50045
46,7.0,5112.0,699.0,17.0,0.0,5000.0,0.0,,2.0,10.0,1803.0,12.0,2.0,155.0,4.0,12.0,12.0,10.0,25.0,6915.0,92.0,56.0,,263.0,49.0,,75.0,100.0,7.0,605.0,0.0,32.0,9551.0,26.0,0.0,0.0,3.0,375.0,,22757.0,564.0,167.0,53.0,3.0,71.0,3.0,4.0,155800.0,4.0,7.0,0.0,4868.0,105.0,5.0,0.0,0.0,53.0,8.0,473695.0,13.0,0.0,3829.0,846.0,6606.0,"(44.0, 63.0]",,116.0,68.0,7303.0,6.0,0.0,0.0,50046
